clip_id,dataset_name,language,mode,has_reference_anchors,has_reference_events,num_reference_turns,num_predicted_turns,num_reference_overlap_events,num_predicted_overlap_events,speaker_label_error_rate,turn_time_coverage,boundary_mae,overlap_precision,overlap_recall,overlap_f1,interruption_precision,interruption_recall,interruption_f1,notes
aishell4_test_001,AISHELL-4,zh-CN,reference_assisted,true,false,8,8,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
aishell4_test_001,AISHELL-4,zh-CN,pyannote_optional,true,false,8,7,0,0,0.358241,0.917614,1.286333,,,,,,,Automatic pyannote diarization; no mock fallback.
aishell4_test_002,AISHELL-4,zh-CN,no_diarization,true,false,2,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
aishell4_test_002,AISHELL-4,zh-CN,reference_assisted,true,false,2,2,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
aishell4_test_002,AISHELL-4,zh-CN,pyannote_optional,true,false,2,2,0,0,0.010305,0.989695,4.031,,,,,,,Automatic pyannote diarization; no mock fallback.
aishell4_test_003,AISHELL-4,zh-CN,no_diarization,true,false,3,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
aishell4_test_003,AISHELL-4,zh-CN,reference_assisted,true,false,3,3,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
aishell4_test_003,AISHELL-4,zh-CN,pyannote_optional,true,false,3,2,0,0,0.006106,0.993894,2.183,,,,,,,Automatic pyannote diarization; no mock fallback.
aishell4_test_004,AISHELL-4,zh-CN,no_diarization,true,false,3,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
aishell4_test_004,AISHELL-4,zh-CN,reference_assisted,true,false,3,3,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
aishell4_test_004,AISHELL-4,zh-CN,pyannote_optional,true,false,3,1,0,0,0.002708,0.997292,6.2955,,,,,,,Automatic pyannote diarization; no mock fallback.
aishell4_test_005,AISHELL-4,zh-CN,no_diarization,true,false,3,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
aishell4_test_005,AISHELL-4,zh-CN,reference_assisted,true,false,3,3,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
aishell4_test_005,AISHELL-4,zh-CN,pyannote_optional,true,false,3,1,0,0,0.002709,0.997291,6.604,,,,,,,Automatic pyannote diarization; no mock fallback.
aishell4_test_006,AISHELL-4,zh-CN,no_diarization,true,false,3,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
aishell4_test_006,AISHELL-4,zh-CN,reference_assisted,true,false,3,3,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
aishell4_test_006,AISHELL-4,zh-CN,pyannote_optional,true,false,3,1,0,0,0.00271,0.99729,4.985,,,,,,,Automatic pyannote diarization; no mock fallback.
aishell4_test_007,AISHELL-4,zh-CN,no_diarization,true,false,4,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
aishell4_test_007,AISHELL-4,zh-CN,reference_assisted,true,false,4,4,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
aishell4_test_007,AISHELL-4,zh-CN,pyannote_optional,true,false,4,3,0,0,0.169606,0.989564,0.794,,,,,,,Automatic pyannote diarization; no mock fallback.
aishell4_test_008,AISHELL-4,zh-CN,no_diarization,true,false,3,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
aishell4_test_008,AISHELL-4,zh-CN,reference_assisted,true,false,3,3,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
aishell4_test_008,AISHELL-4,zh-CN,pyannote_optional,true,false,3,3,0,1,0.008225,0.991775,1.175,,,,,,,Automatic pyannote diarization; no mock fallback.
aishell4_test_009,AISHELL-4,zh-CN,no_diarization,true,false,3,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
